v_gene:0,mean_phi_A,median_phi_A,mean_delta_RS,n
IGHV3-72,0.03590187937082597,0.04884662497261053,1.3854222916215844,13522
IGHV3-64D,0.048488680742284206,0.08962486797974716,1.4201062110380083,3164
IGHV3-13,0.06515311932418713,0.08962486797974716,1.3401004894278092,6392
IGHV1-24,0.09696050144812471,0.04884662497261053,1.2970352946955708,7738
IGHV1-58,0.12594436236183504,0.08962486797974716,1.2407894009004388,2812
IGHV3-23,0.14610363313144456,0.22300002082450082,1.269959595487961,141121
IGHV3-15,0.15951105013852884,0.22300002082450082,1.2536519053130912,21941
IGHV1-3,0.16293309657910074,0.22300002082450082,1.277495323664913,54044
IGHV4-39,0.1662769316127297,0.202822310231392,1.225569010113198,77666
IGHV4-31,0.17028512525594774,0.22300002082450082,1.2705912970131414,25353
IGHV3-64,0.18362031792583766,0.22300002082450082,1.262835354970361,2117
IGHV5-51,0.1917280585292453,0.22300002082450082,1.2101041346539363,122405
IGHV4-4,0.19736782217783239,0.2717276959164277,1.1895415582542819,22739
IGHV3-7,0.22560794589634298,0.2717276959164277,1.2133478340725172,76186
IGHV3-11,0.234222473090944,0.2717276959164277,1.1646946998599954,8914
IGHV4-30-4,0.23873320532936976,0.3586197864185034,1.1200630389815254,1445
IGHV4-NL1,0.2580148317465997,0.2717276959164277,1.1484354032638724,7720
IGHV2-26,0.2584141379068157,0.2717276959164277,1.1683360797948708,6943
IGHV3-73,0.2590723816302388,0.2717276959164277,1.1634749176612713,5420
IGHV1-18,0.2712399886511425,0.2717276959164277,1.1192930366478602,93685
IGHV3-74,0.28179277773384714,0.2717276959164277,1.1521330874252276,104696
IGHV3-30-3,0.2858705232836268,0.2717276959164277,1.1271882200762375,6722
IGHV7-4-1,0.28931886115051025,0.2717276959164277,1.1222316782255544,24718
IGHV5-10-1,0.30889726398102,0.2717276959164277,1.112730972037151,13428
IGHV4-59,0.3206393137501281,0.30804674017099487,1.1085414263925042,25149
IGHV3-48,0.3245598316246983,0.2717276959164277,1.104341479296496,50180
IGHV4-61,0.32558532790609407,0.30804674017099487,1.0973691229768328,6048
IGHV1-46,0.3290654141075982,0.3586197864185034,1.0759666191405644,42520
IGHV1-2,0.33032819372390837,0.2717276959164277,1.1557189758112567,79141
IGHV3-33,0.33251683705470353,0.3586197864185034,1.0878331674870765,33083
IGHV3-43,0.33726416862925,0.30804674017099487,1.0524869961720336,4175
IGHV3-9,0.34200966512423625,0.2717276959164277,1.0874796085450846,22669
IGHV3-30,0.3442099184354108,0.37694241891061303,1.0651664913406123,41970
IGHV3-49,0.3478787031137239,0.37694241891061303,1.0469599588032423,10319
IGHV3-66,0.3527419251635324,0.2717276959164277,1.1409952776906138,6086
IGHV3-53,0.36408016185385805,0.37694241891061303,1.068444289559631,43135
IGHV1-69,0.37338224361413735,0.37694241891061303,0.9905074565368741,45756
IGHV1-8,0.3996133520826556,0.37694241891061303,1.045667678552497,27710
IGHV2-5,0.40071513171917233,0.30804674017099487,1.0471521498125789,39547
IGHV3-21,0.41510244457225304,0.5589724541282979,0.9643554728638076,53495
IGHV4-34,0.42713982854854055,0.5589724541282979,0.9915971524264587,26680
IGHV4-38-2,0.431494732561302,0.4256596947182628,0.9871353562661007,11334
IGHV2-70,0.4712361301619673,0.4256596947182628,0.9623976483009121,12153
IGHV3-20,0.4804408019778459,0.5589724541282979,0.9184804107980734,2513
IGHV2-70D,0.49609028185469045,0.5589724541282979,0.9598218615719909,2675
IGHV6-1,0.5839094693151858,0.5589724541282979,0.9187205261239689,20566
