v_gene,n,mean_alpha,mean_beta,mean_gamma,std_alpha,std_beta,std_gamma,lambda_S,lambda_R,r2,n_right,lambda_S_ep,lambda_R_ep,r2_ep,n_ep,R_AID,density_cdr,density_fwr,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R
IGHV3-23,141121,0.9602201779375128,0.038859169102263814,0.0009206529602232978,0.06469636961642851,0.06423483664064178,0.005987145545753917,0.0,0.0,0.0,141121,0.0,0.0,0.0,769,0.49689440993788814,0.047619047619047616,0.09583333333333334,70,0.04960282310924667,0.6607266342098326,0.14033424744771744,0.11307335475911787,0.38698574165758914
IGHV5-51,122405,0.9402942084326066,0.05116408198861504,0.008541709578778362,0.08533349334858456,0.08219460356382376,0.02056452638594828,0.001206148779979,0.0,0.00006809811955632572,122405,0.0,0.0,0.0,865,0.272108843537415,0.023809523809523808,0.0875,83,0.06780768759446101,0.4026605066349675,0.12707778943307027,0.12091521739199029,0.4587878462239423
IGHV3-74,104696,0.9468016697256361,0.05316226959397206,0.00003606068039194628,0.08207099778929572,0.08206010366239759,0.0009467414236497882,0.016388401121509872,0.0,0.009780637009042636,104696,0.001611845175327296,0.0,0.0001317422108670918,918,0.25974025974025977,0.023809523809523808,0.09166666666666666,69,0.06590509666080843,0.4600225206841527,0.13045483525130336,0.13454250917564944,0.31815658887904685
IGHV1-18,93685,0.9500395508671079,0.04229453834860216,0.007665910784290199,0.07411133557071477,0.06932464976098758,0.019873934058597442,0.0,0.0,0.0,93685,0.0,0.03989896179571036,0.00034355225678572854,579,0.37267080745341613,0.03571428571428571,0.09583333333333334,65,0.0693814377968725,0.37172638723509605,0.1474918251743735,0.13821017860424925,0.4506827522045846
IGHV1-2,79141,0.9366846527428057,0.0525260955875423,0.010789251669652061,0.1060241500413996,0.10560000799516676,0.019364916905477775,0.010595446572255638,0.18297726736365735,0.005404041243519009,79141,0.0025649874996397514,0.0,0.00037836931270140983,488,0.24844720496894407,0.023809523809523808,0.09583333333333334,74,0.09350399919131676,0.3955525528366346,0.13892029806890321,0.16160774256557425,0.45722693023362365
IGHV4-39,77666,0.951406647666031,0.040304955014562306,0.00828839731940677,0.07721224311697504,0.07305060040547251,0.020539306730949423,0.0010984284927647474,0.0,0.00008188571651868148,77666,0.0,0.0,0.0,523,0.54421768707483,0.047619047619047616,0.0875,77,0.09914248190971596,0.850049595072207,0.13115203322630192,0.14392643891107018,0.4442304451318464
IGHV3-7,76186,0.9497981333228841,0.049902737343429246,0.000299129333686612,0.07954366056696484,0.07938437639822919,0.0032932949978290555,0.015048218800348772,0.0,0.008362305945446846,76186,0.007694339086412776,0.0,0.0030957393777009123,638,0.6349206349206349,0.047619047619047616,0.075,77,0.10106843777071903,0.34072920034091014,0.12242901023626433,0.154499757361923,0.33932298145244644
IGHV1-3,54044,0.9394655876528836,0.03913793399754334,0.021396478349573103,0.08675707127487717,0.07441314778584777,0.03284136864341616,0.009057583426464724,0.0,0.004540624746539046,54044,0.006897909332778781,0.0,0.00246256183964344,494,0.23809523809523808,0.023809523809523808,0.1,93,0.17208200725334913,0.39620795816046417,0.13659519026278774,0.1743947806497188,0.5123200702899159
IGHV3-21,53495,0.9103954950470562,0.06528486694856038,0.02431963800438341,0.08963172523347021,0.07980878128676565,0.03974649715383999,0.0041119480950581495,0.07154781377528244,0.002472381479415753,53495,0.0,0.18828385392331654,0.006741089490199026,449,0.5194805194805195,0.047619047619047616,0.09166666666666666,62,0.11589868211982428,0.2937030055052734,0.11719907619915139,0.14369165006572937,0.5240907851644168
IGHV3-48,50180,0.9416891846372747,0.054918877749360974,0.0033919376133643635,0.08975889844581009,0.08815016719921914,0.01328188745653569,0.00656694530427934,0.0,0.0016659194403213506,50180,0.0,0.0,0.0,535,0.6857142857142856,0.07142857142857142,0.10416666666666667,68,0.13551215623754484,0.6090026612180477,0.11001560955935727,0.16782034275900876,0.40473108961895293
IGHV1-69,45756,0.8816329398606162,0.03601278021179697,0.0823542799275868,0.08684294394679314,0.055493819036222525,0.05520827011197625,0.0006637928511127135,0.0,0.000042493149240763195,45756,0.0,0.0,0.0,266,0.21978021978021975,0.023809523809523808,0.10833333333333334,81,0.17702596380802518,0.4402648893165918,0.16975848551287365,0.14926249398649982,0.6790666571925643
IGHV3-53,43135,0.9351588229404157,0.0515213417484903,0.013319835311093991,0.08591119373220737,0.07982018170940001,0.026346449832965437,0.005871126418672214,0.002058730779804792,0.001651335651496999,43135,0.0,0.08720570132639634,0.0014648322967041327,496,0.42857142857142855,0.03571428571428571,0.08333333333333333,86,0.19937405818940535,0.4613914913483302,0.13450468220620562,0.16601320090012855,0.4838533160081809
IGHV1-46,42520,0.9383377400843472,0.044477668856559155,0.017184591059093673,0.07807362050624748,0.06928721812525913,0.02810101252466146,0.0027036731821292862,0.0,0.00048488585213801727,42520,0.0,0.008983526416538573,0.00001971957828550419,449,0.23809523809523808,0.023809523809523808,0.1,76,0.17873941674506114,0.5928097525239765,0.16978196243347707,0.1423235547018927,0.5017082093406999
IGHV3-30,41970,0.9334186814101377,0.0487472109172335,0.017834107672628646,0.08333549976809869,0.07522272445732227,0.029136458887271517,0.0,0.0,0.0,41970,0.0,0.0,0.0,345,0.6015037593984962,0.047619047619047616,0.07916666666666666,85,0.20252561353347628,0.6504241030793338,0.11065678342493562,0.17377997360030936,0.5035729999044943
IGHV2-5,39547,0.9208656842790482,0.06899881814060418,0.010135497580347604,0.1081720666133633,0.10679034367036026,0.02446813544958393,0.009319542884347219,0.004282487847899026,0.0029063041301474746,39547,0.0,0.1278340191736104,0.002903165265729757,398,0.5357142857142857,0.03571428571428571,0.06666666666666667,61,0.15424684552557716,0.22666279232905903,0.07398978820043396,0.18514495361224548,0.458482507767364
IGHV3-33,33083,0.9230961094228679,0.04995214600820625,0.026951744568925823,0.08838043958853695,0.07742613035757734,0.03506539576628473,0.0,0.0,0.0,33083,0.013863396236111398,0.0,0.008477832202820723,396,0.7518796992481203,0.05952380952380952,0.07916666666666666,83,0.25088413989057823,0.4914786062873764,0.11927887571084095,0.16449613490000048,0.5229381372846472
IGHV1-8,27710,0.9145925659772136,0.05886805970548607,0.02653937431730023,0.10485902632126627,0.0933078607353124,0.042348565571367625,0.011178125078864221,0.0,0.00490352951804407,27710,0.004161879178657425,0.0,0.0007674443525180763,388,0.23809523809523808,0.023809523809523808,0.1,55,0.19848430169613857,0.4764435347291872,0.11817260169240602,0.20954127708134213,0.5082669922836669
IGHV4-34,26680,0.8622269401028504,0.05045385396029038,0.08731920593685931,0.10828485482518709,0.07666365895120571,0.06651309154006228,0.0013429280476840609,0.0,0.00008788052912367394,26680,0.0,0.0,0.0,328,0.12987012987012989,0.011904761904761904,0.09166666666666666,57,0.2136431784107946,0.4408789892428483,0.12000996340530314,0.18145264324062857,0.6175332336384465
IGHV4-31,25353,0.9233724735113676,0.04156602703008963,0.0350614994585427,0.09315868598638836,0.08026418779864508,0.039255020507439904,0.0053831693712433435,0.0,0.0017030267735721472,25353,0.0,0.19375978694099133,0.007348838720531159,352,0.37267080745341613,0.03571428571428571,0.09583333333333334,60,0.23665838362323985,0.6446634845896646,0.12154752867814032,0.1527608126029569,0.5515495489121999
IGHV4-59,25149,0.9432434436242707,0.0514993910682555,0.0052571653074739025,0.08412537086315547,0.08207770506624594,0.016503732668846163,0.0016247092601986337,0.001264694684423593,0.0001471616262547215,25149,0.0,0.008384449426638343,0.00001598569116401105,325,0.38961038961038963,0.03571428571428571,0.09166666666666666,74,0.2942462920990894,0.37136409838145046,0.14346630594812074,0.15941096067097313,0.4380529135965036
IGHV7-4-1,24718,0.9371289176418263,0.05401667167930461,0.008854410678869218,0.09328507957520364,0.08886562625631508,0.02361571323259493,0.0,0.0,0.0,24718,0.0,0.09317899623225032,0.001690142354330848,291,0.22857142857142854,0.023809523809523808,0.10416666666666667,65,0.2629662594061008,0.3538880808570054,0.1003417341778652,0.1530194917165305,0.4743777480885665
IGHV4-4,22739,0.9506585849464546,0.04075567489166211,0.008585740161883326,0.07318822105217994,0.06813321960804404,0.020798523788479583,0.0,0.0,0.0,22739,0.008511383160412795,0.0,0.004321263182267998,304,0.3007518796992481,0.023809523809523808,0.07916666666666666,68,0.2990456924227099,0.3604684409342223,0.12521713025352743,0.15057829550957882,0.48070602506572285
IGHV3-9,22669,0.929380550030192,0.05738156895645342,0.013237881013354469,0.0977992678486697,0.09160797358003608,0.024865935822696566,0.00737079486493245,0.0,0.0024847887064299856,22669,0.001982796822591963,0.10769846609430786,0.0015987008673000735,287,0.23809523809523808,0.023809523809523808,0.1,68,0.29996912082579735,0.5229124050274153,0.13332374842235717,0.16250290920568733,0.49902626169605485
IGHV3-15,21941,0.9475895856196344,0.03901601672596775,0.013394397654397911,0.07418126015079268,0.06649461989735297,0.027439438566859792,0.0,0.0,0.0,21941,0.0,0.0,0.0,212,0.6802721088435374,0.05952380952380952,0.0875,59,0.2689029670479923,0.24617940177136555,0.12066798293650632,0.1422756336405872,0.44908282635611757
IGHV6-1,20566,0.9247524715810687,0.07251019724388826,0.0027373311750430868,0.10214064962130551,0.10116412120096155,0.012545727967051768,0.014232302439416786,0.0,0.003916033391719864,20566,0.028306922103657036,0.0,0.016134727411956873,363,0.49689440993788814,0.047619047619047616,0.09583333333333334,43,0.20908295244578431,0.2569688897959243,0.10909562814195536,0.20182890072097076,0.4102250331665199
IGHV3-72,13522,0.9623812536844023,0.03761874631559787,0.0,0.06394405247005545,0.06394405247005545,0.0,0.012046619190445475,0.0,0.005694863980475695,13522,0.012800521594832026,0.0,0.006843256978764867,235,0.7518796992481203,0.05952380952380952,0.07916666666666666,52,0.3845584972637184,0.4002523870112285,0.14566293127314492,0.1338003610532731,0.19595593219185672
IGHV5-10-1,13428,0.9004522073102861,0.04634217934262379,0.053205613347090015,0.0953631753045632,0.07665571881773309,0.051715358553767965,0.0,0.0,0.0,13428,0.0,0.22084069904350043,0.009138348311506173,242,0.24844720496894407,0.023809523809523808,0.09583333333333334,61,0.45427464998510575,0.39513780156176886,0.12453796752733855,0.15553026762209232,0.5859348165353561
IGHV2-70,12153,0.8934508307209656,0.0654567224387188,0.041092446840315495,0.11248701169979407,0.09791299606689553,0.04584511115108196,0.0017640582432165537,0.0,0.0001096224856340644,12153,0.006593833915962709,0.0,0.0010929620063128143,255,0.5714285714285714,0.03571428571428571,0.0625,46,0.3785073644367646,0.2832601906357056,0.09417906755105326,0.17744294227340549,0.5734829579376882
IGHV4-38-2,11334,0.9323441081476058,0.060121337123857505,0.007534554728536605,0.09107976987931918,0.08882830986806313,0.019142087059574604,0.0038035065919044234,0.0,0.000593114263307104,11334,0.007132244549896023,0.31616532745001763,0.020466121351005562,215,0.40816326530612246,0.03571428571428571,0.0875,48,0.4235044997353097,0.6304600569018047,0.11797573034502921,0.16378637152129072,0.46455994349032453
IGHV3-49,10319,0.942069019093439,0.051163115370572256,0.006767865535988651,0.0760893456952489,0.07360975902988683,0.018104137769579174,0.0,0.0,0.0,10319,0.0,0.05278147044952248,0.0006752363814055418,151,0.6493506493506493,0.05952380952380952,0.09166666666666666,54,0.5233065219498013,0.5069209896889795,0.10116688999102294,0.2052825497625365,0.4580122618981098
IGHV3-11,8914,0.9455830204161261,0.044146435872806485,0.010270543711067453,0.08376963519692712,0.07728249126442577,0.02455559455129384,0.0,0.0,0.0,8914,0.0,0.06244082821291474,0.001076517373307384,147,0.6211180124223602,0.05952380952380952,0.09583333333333334,61,0.684316805025802,0.44473841524294294,0.11575354994935927,0.2124170026410112,0.4732990994747243
