v_gene,mean_r2,n
IGHV4-31,NaN,18
IGHV2-5,NaN,18
IGHV3-21,NaN,20
IGHV3-13,NaN,28
IGHV7-4-1,NaN,12
IGHV3-11,0.32527817130469444,4
IGHV3-66,0.23028115501961047,11
IGHV1-69,0.21328878577846497,10
IGHV3-53,0.1784090541069686,33
IGHV4-34,0.17716835838534487,17
IGHV4-39,0.1762978331281869,38
IGHV1-3,0.17528878288293293,50
IGHV3-72,0.1719939407108819,11
IGHV3-15,0.1658675615217828,9
IGHV6-1,0.13653368198871543,21
IGHV3-74,0.1320377624114761,107
IGHV3-23,0.10971159115349098,61
IGHV3-9,0.10933821580935046,17
IGHV1-8,0.10032568275026868,40
IGHV3-49,0.09641691766156284,5
