v_gene,lambda_S,lambda_R,se_S,se_R,r2,n
IGHV3-64,0.02373424286707038,0.0,0.004897307512808138,0.0,0.01843472606122698,1899
IGHV3-69-1,0.02080336839358859,0.060116264370422785,NaN,NaN,0.028115852895363558,133
IGHV3-74,0.0167126293020628,0.0,0.0006563025465495642,0.0,0.010143442586963203,100813
IGHV1-69-2,0.014913949648176848,0.0,0.0047902786951006535,0.0,0.012852049314791891,666
IGHV3-7,0.01478698306670322,0.0,0.0007083442701315546,0.0,0.008217911942269729,74230
IGHV4-28,0.014649425090783793,0.0,NaN,NaN,0.016142779351261627,286
IGHV6-1,0.013605869709514808,0.003827827889124288,0.0014195785352021548,0.017935752132469826,0.0036762604711381153,19683
IGHV3-72,0.011930251590346882,0.0,0.001308802986953978,0.0,0.005609146763515538,13013
IGHV1-8,0.011391418798764546,0.0,0.0007059691273813448,0.0,0.005136084226072257,26539
IGHV1-2,0.010663733764357981,0.18552065840326326,0.0009109115741082527,0.013524951971100777,0.005477850781333671,77952
IGHV4-NL1,0.009748248354669014,0.0,0.0027319446890301745,0.0,0.003417601295489292,6695
IGHV2-5,0.009556498567692886,0.006227778334810858,0.0009476686556357344,0.013177829281744347,0.0030237823142651443,38466
IGHV1-3,0.009225721872845198,0.0,0.0005433095814367429,0.0,0.00467899873084765,52414
IGHV4-61,0.007667270083567827,0.0,0.0015712199925050601,0.0,0.003231780183747812,5837
IGHV3-43D,0.007217886975745856,0.0,0.0055271852785283675,0.0,0.0031925479002119506,569
IGHV3-9,0.0067692576742887246,0.0,0.0010775284535005129,0.0,0.002067168853092105,21316
IGHV4-30-2,0.006607286460096725,0.0026690206583239455,NaN,NaN,0.0026580991407212373,422
IGHV3-48,0.006453443739217703,0.0,0.000649262593858703,0.0,0.001627785060382192,48744
IGHV3-53,0.006001658722839769,0.0,0.0005257322989799779,0.00017849248184945282,0.0017492136750404397,41645
IGHV3-66,0.0053004767444886905,0.0,0.0021628099155546966,0.0,0.0008596719014747345,5465
IGHV4-31,0.005124636070727069,0.0,0.0008426013432705791,0.0,0.001565582612093941,24381
IGHV3-21,0.004300906372900345,0.06980862773498646,0.0005207965225854835,0.007048757665178822,0.0025186866244786277,52139
IGHV3-30-3,0.003084893046690261,0.0,0.00204378856269319,0.0,0.00041882045953434144,6502
IGHV1-46,0.002928264630955383,0.0,0.0005978066559485008,0.0,0.0005722757551046564,41467
IGHV3-73,0.002785868428033495,0.0,0.0020483303181360476,0.0,0.00029471782800438717,5117
IGHV1-24,0.001995073242327549,0.041131522958793326,0.0016608464265092252,0.023040290413309454,0.0005691814070105661,7308
IGHV4-34,0.0016585547126691576,0.0,0.0008103783589641799,0.0,0.0001336483452879511,25504
IGHV4-59,0.0014659215738864512,0.0,0.0009381102375288629,0.0,0.00011837592018137943,24278
IGHV2-70,0.0013197079259631942,0.0,0.0011413681620375008,0.0,0.00006130190733955043,11549
IGHV4-38-2,0.0010777747989142391,0.0,0.001018491619676682,0.0,0.00004946967687091686,10868
IGHV4-39,0.0008383043294908365,0.0,0.0003577715041817696,0.0,0.0000481217411684165,76279
IGHV5-51,0.0007843038417207574,0.0,0.00038180215179488725,0.0,0.0000287768539931621,119482
IGHV1-45,0.0005537153546836747,0.0,NaN,NaN,0.00011682018806369321,125
IGHV1-69,0.0005447321140265947,0.0,0.0004746380385903776,0.0,0.000028399838819526124,44939
IGHV2-26,0.0005297298845279847,0.0,0.0016124233635857366,0.001971269160084518,9.340911759414539e-6,6358
IGHV3-43,0.0,0.0,0.0,0.0,0.0,3774
IGHV3-23,0.0,0.0,0.0,0.0,0.0,138824
IGHV3-30,0.0,0.0,0.0,0.0,0.0,40968
IGHV3-33,0.0,0.0,0.0,0.0,0.0,31935
IGHV1-18,0.0,0.0,0.0,0.0,0.0,91589
IGHV3-15,0.0,0.0,0.0,0.0,0.0,21204
IGHV7-4-1,0.0,0.0,0.0,0.0,0.0,23978
IGHV4-4,0.0,0.0,0.0,0.0,0.0,22039
IGHV3-20,0.0,0.0,0.0,0.0,0.0,2193
IGHV5-10-1,0.0,0.0,0.0,0.0,0.0,12965
IGHV3-11,0.0,0.0,0.0,0.0,0.0,8489
IGHV3-49,0.0,0.0,0.0,0.0,0.0,9923
IGHV4-30-4,0.0,0.0,0.0,0.0,0.0,1384
IGHV1-58,0.0,0.10543547529398904,0.0,0.028781099950175346,0.0022759757540651293,2597
IGHV3-13,0.0,0.04305627306261212,0.0,0.027768673862543173,0.0003510219001539028,5585
IGHV3-64D,0.0,0.0,0.0,0.0,0.0,2905
IGHV2-70D,0.0,0.0,0.0,0.0,0.0,2225
