v_gene,lambda_S,lambda_R,r2,n
IGHV3-23,0.0,0.1171840530754431,-0.01522090673767984,138824
IGHV5-51,0.0,0.1881190599718153,-0.03112948816964023,119482
IGHV3-74,0.0030391918098856326,0.22886859795746242,-0.01415044287909728,100813
IGHV1-18,0.0,0.23298010396866148,-0.06683806736256215,91589
IGHV1-2,0.0,0.41619786235464634,-0.03731940801962552,77952
IGHV4-39,0.0,0.08683585247201822,-0.027730928217824857,76279
IGHV3-7,0.0,0.16174882688528677,-0.01552759044943186,74230
IGHV1-3,0.0,0.0,-0.023821413329457197,52414
IGHV3-21,0.0,0.029539397435409377,-0.17543706094648037,52139
IGHV3-48,0.0,0.31459974485519754,-0.0565982897738011,48744
IGHV1-69,0.0,0.0,-0.16468727000365213,44939
IGHV3-53,0.0,0.14204258193101327,-0.10904941176296212,41645
IGHV1-46,0.0,0.0,-0.1083560187898438,41467
IGHV3-30,0.0,0.0,-0.11070960624311987,40968
IGHV2-5,0.0,0.39751938972603373,-0.09470046292053569,38466
IGHV3-33,0.0,0.0,-0.10108168480272717,31935
IGHV1-8,0.0,0.0,-0.11532223269594999,26539
IGHV4-34,0.0,0.0,-0.14379388076466526,25504
IGHV4-31,0.0,0.0,-0.025717745305813944,24381
IGHV4-59,0.0,0.3391928270361603,-0.058728534237793006,24278
IGHV7-4-1,0.0,0.27361299061621475,-0.06022339719394254,23978
IGHV4-4,0.0,0.14069852971019442,-0.03941101902754918,22039
IGHV3-9,0.0,0.0,-0.09883974969917775,21316
IGHV3-15,0.0,0.0,-0.025176556692291685,21204
IGHV6-1,0.0,0.6569510627076867,-0.07244435005610717,19683
IGHV3-72,0.004248062871226762,0.03430623114465379,-0.001004423418821787,13013
IGHV5-10-1,0.0,0.0,-0.08438398076261966,12965
IGHV2-70,0.0,0.0,-0.15384710581623073,11549
IGHV4-38-2,0.0,0.4008875495468529,-0.1149557993067074,10868
IGHV3-49,0.0,0.3234825737949469,-0.10485371932176579,9923
IGHV3-11,0.0,0.12678190543326626,-0.05198363817451024,8489
IGHV1-24,0.0,0.0,-0.009657416210942626,7308
IGHV4-NL1,0.0,0.252522742585794,-0.03510847891336133,6695
IGHV3-30-3,0.0,0.0,-0.07270218278962148,6502
IGHV2-26,0.0,0.0,-0.04640541044920665,6358
IGHV4-61,0.0,0.0,-0.09591633330286431,5837
IGHV3-13,0.0,0.11793822985255924,-0.0025423742805941174,5585
IGHV3-66,0.0,0.2872986969860334,-0.04520033907591525,5465
IGHV3-73,0.0,0.15776951400869824,-0.05718501449640234,5117
IGHV3-43,0.0,0.27837971257564226,-0.08068032819983384,3774
IGHV3-64D,0.0,0.0,-0.0037259278390591177,2905
IGHV1-58,0.0,0.0,-0.016241927770431763,2597
IGHV2-70D,0.0,0.5985182950277457,-0.07831932531366403,2225
IGHV3-20,0.0,0.0,-0.17916520516101708,2193
IGHV3-64,0.0,0.12445676708554138,-0.028623927228538015,1899
IGHV4-30-4,0.0,0.0,-0.07189368151860576,1384
IGHV1-69-2,0.0,0.0,-0.08896716763300128,666
IGHV3-43D,0.0,0.0,-0.13382099250244317,569
