donor,lambda_S,lambda_R,r2,n
01,0.013142380951473052,0.0,0.005509738099261474,8320
02,0.006910380849103496,0.0,0.0016276111683374284,229319
03,0.012645314517460694,0.0,0.004654387478864264,42997
04,0.0011026802508867246,0.0,0.00006167410184143574,68267
05,0.006726034747295881,0.0,0.0019870933279189096,169113
06,0.0,0.0,0.0,39409
07,0.0037865019485026513,0.0,0.0005927420649987081,366785
08,0.0,0.0,0.0,88193
09,0.0,0.0,0.0,215931
10,0.005928278454715576,0.14681821095132785,0.002517765790982951,61190
11,0.003574232856726255,0.0,0.0007196498146175845,126236
