v_gene,lS_5,lR_5,n_5,lS_5b,lR_5b,n_5b,lS_5c,lR_5c,n_5c
IGHV3-23,0.0,0.0,141121,0.0,0.0,769,0.0,0.1171840530754431,138824
IGHV5-51,0.001206148779979,0.0,122405,0.0,0.0,865,0.0,0.1881190599718153,119482
IGHV3-74,0.016388401121509872,0.0,104696,0.001611845175327296,0.0,918,0.0030391918098856326,0.22886859795746242,100813
IGHV1-18,0.0,0.0,93685,0.0,0.03989896179571036,579,0.0,0.23298010396866148,91589
IGHV1-2,0.010595446572255638,0.18297726736365735,79141,0.0025649874996397514,0.0,488,0.0,0.41619786235464634,77952
IGHV4-39,0.0010984284927647474,0.0,77666,0.0,0.0,523,0.0,0.08683585247201822,76279
IGHV3-7,0.015048218800348772,0.0,76186,0.007694339086412776,0.0,638,0.0,0.16174882688528677,74230
IGHV1-3,0.009057583426464724,0.0,54044,0.006897909332778781,0.0,494,0.0,0.0,52414
IGHV3-21,0.0041119480950581495,0.07154781377528244,53495,0.0,0.18828385392331654,449,0.0,0.029539397435409377,52139
IGHV3-48,0.00656694530427934,0.0,50180,0.0,0.0,535,0.0,0.31459974485519754,48744
IGHV1-69,0.0006637928511127135,0.0,45756,0.0,0.0,266,0.0,0.0,44939
IGHV3-53,0.005871126418672214,0.002058730779804792,43135,0.0,0.08720570132639634,496,0.0,0.14204258193101327,41645
IGHV1-46,0.0027036731821292862,0.0,42520,0.0,0.008983526416538573,449,0.0,0.0,41467
IGHV3-30,0.0,0.0,41970,0.0,0.0,345,0.0,0.0,40968
IGHV2-5,0.009319542884347219,0.004282487847899026,39547,0.0,0.1278340191736104,398,0.0,0.39751938972603373,38466
IGHV3-33,0.0,0.0,33083,0.013863396236111398,0.0,396,0.0,0.0,31935
IGHV1-8,0.011178125078864221,0.0,27710,0.004161879178657425,0.0,388,0.0,0.0,26539
IGHV4-34,0.0013429280476840609,0.0,26680,0.0,0.0,328,0.0,0.0,25504
IGHV4-31,0.0053831693712433435,0.0,25353,0.0,0.19375978694099133,352,0.0,0.0,24381
IGHV4-59,0.0016247092601986337,0.001264694684423593,25149,0.0,0.008384449426638343,325,0.0,0.3391928270361603,24278
IGHV7-4-1,0.0,0.0,24718,0.0,0.09317899623225032,291,0.0,0.27361299061621475,23978
IGHV4-4,0.0,0.0,22739,0.008511383160412795,0.0,304,0.0,0.14069852971019442,22039
IGHV3-9,0.00737079486493245,0.0,22669,0.001982796822591963,0.10769846609430786,287,0.0,0.0,21316
IGHV3-15,0.0,0.0,21941,0.0,0.0,212,0.0,0.0,21204
IGHV6-1,0.014232302439416786,0.0,20566,0.028306922103657036,0.0,363,0.0,0.6569510627076867,19683
IGHV3-72,0.012046619190445475,0.0,13522,0.012800521594832026,0.0,235,0.004248062871226762,0.03430623114465379,13013
IGHV5-10-1,0.0,0.0,13428,0.0,0.22084069904350043,242,0.0,0.0,12965
IGHV2-70,0.0017640582432165537,0.0,12153,0.006593833915962709,0.0,255,0.0,0.0,11549
IGHV4-38-2,0.0038035065919044234,0.0,11334,0.007132244549896023,0.31616532745001763,215,0.0,0.4008875495468529,10868
IGHV3-49,0.0,0.0,10319,0.0,0.05278147044952248,151,0.0,0.3234825737949469,9923
IGHV3-11,0.0,0.0,8914,0.0,0.06244082821291474,147,0.0,0.12678190543326626,8489
IGHV1-24,0.0021300493862060907,0.019154716004108133,7738,0.0,0.02605717719345814,167,0.0,0.0,7308
IGHV4-NL1,0.00766374481585502,0.0,7720,0.002129692809883958,0.0,268,0.0,0.252522742585794,6695
IGHV2-26,0.0,0.0,6943,0.005546121467502202,0.039855491829848905,165,0.0,0.0,6358
IGHV3-30-3,0.0024112310242028483,0.0,6722,0.0,0.0,92,0.0,0.0,6502
IGHV3-13,0.0,0.0662353237632414,6392,0.0,0.0732569219176637,230,0.0,0.11793822985255924,5585
IGHV3-66,0.0047954374386251185,0.0,6086,0.028543585016159254,0.0,218,0.0,0.2872986969860334,5465
IGHV4-61,0.007657678100274244,0.0,6048,0.0,0.0,103,0.0,0.0,5837
IGHV3-73,0.0013869353376188256,0.0,5420,0.0031136523698601397,0.013973074582971957,110,0.0,0.15776951400869824,5117
IGHV3-43,0.0,0.0,4175,0.0,0.0,118,0.0,0.27837971257564226,3774
IGHV3-64D,0.0,0.0,3164,0.018259095684848577,0.0,92,0.0,0.0,2905
IGHV1-58,0.0,0.1139850093878404,2812,0.0,0.12028082762414744,102,0.0,0.0,2597
IGHV2-70D,0.0,0.016449668274686937,2675,0.0,0.2815416982102082,141,0.0,0.5985182950277457,2225
IGHV3-20,0.0,0.0,2513,0.0,0.0,104,0.0,0.0,2193
IGHV3-64,0.023578221890350807,0.0,2117,0.027035884521415723,0.0,108,0.0,0.12445676708554138,1899
IGHV4-30-4,0.0,0.0,1445,0.003995617773088254,0.0,33,0.0,0.0,1384
IGHV1-69-2,,,,0.018701239420900243,0.0,27,0.0,0.0,666
IGHV4-28,,,,0.01695835449775984,0.0,27,,,
IGHV3-43D,,,,0.0,0.0,39,0.0,0.0,569
IGHV1-45,,,,0.0,0.0,22,,,
