v_gene,hv2d_proxy,n_front,pct_front,mean_phi_A,mean_phi_S,mean_phi_R
IGHV4-39,0.850049595072207,77,0.09914248190971596,0.14392643891107018,0.13115203322630192,0.4442304451318464
IGHV3-64D,0.784940562777378,47,1.4854614412136535,0.163836236073178,0.1519173054413992,0.45676063211670254
IGHV3-43,0.7272803122498864,58,1.3892215568862276,0.1864556336979141,0.15482632976692648,0.461115730556169
IGHV3-20,0.6767872071066141,43,1.7111022682053323,0.17353599412018364,0.13568627672397748,0.5915754093478526
IGHV3-13,0.6664585315689084,31,0.48498122653316644,0.16770301338674512,0.12100637699739579,0.43840169194561385
IGHV3-23,0.6607266342098326,70,0.04960282310924667,0.11307335475911787,0.14033424744771744,0.38698574165758914
IGHV3-30,0.6504241030793338,85,0.20252561353347628,0.17377997360030936,0.11065678342493562,0.5035729999044943
IGHV4-31,0.6446634845896646,60,0.23665838362323985,0.1527608126029569,0.12154752867814032,0.5515495489121999
IGHV4-38-2,0.6304600569018047,48,0.4235044997353097,0.16378637152129072,0.11797573034502921,0.46455994349032453
IGHV3-48,0.6090026612180477,68,0.13551215623754484,0.16782034275900876,0.11001560955935727,0.40473108961895293
IGHV3-30-3,0.6056367508879305,38,0.5653079440642665,0.12023639281363212,0.15603443821872812,0.5819045438454896
IGHV1-46,0.5928097525239765,76,0.17873941674506114,0.1423235547018927,0.16978196243347707,0.5017082093406999
IGHV3-73,0.5592377728807126,49,0.9040590405904059,0.1597939449621435,0.10383633424148747,0.46763542964283494
IGHV3-64,0.5516840009265634,38,1.7949929145016532,0.18094077779249107,0.10283482493124528,0.47067617889586294
IGHV4-30-4,0.529609525036708,33,2.283737024221453,0.18210746194426386,0.1570348376375726,0.5647895689744449
IGHV3-9,0.5229124050274153,68,0.29996912082579735,0.16250290920568733,0.13332374842235717,0.49902626169605485
IGHV3-49,0.5069209896889795,54,0.5233065219498013,0.2052825497625365,0.10116688999102294,0.4580122618981098
IGHV3-33,0.4914786062873764,83,0.25088413989057823,0.16449613490000048,0.11927887571084095,0.5229381372846472
IGHV3-66,0.48863861719042845,42,0.690108445612882,0.19759274949587477,0.11494206831882374,0.4628813198034334
IGHV1-8,0.4764435347291872,55,0.19848430169613857,0.20954127708134213,0.11817260169240602,0.5082669922836669
IGHV3-53,0.4613914913483302,86,0.19937405818940535,0.16601320090012855,0.13450468220620562,0.4838533160081809
IGHV3-74,0.4600225206841527,69,0.06590509666080843,0.13454250917564944,0.13045483525130336,0.31815658887904685
IGHV1-58,0.4451514560825669,36,1.2802275960170697,0.17276736570683013,0.11520305108180648,0.5837180607660883
IGHV3-11,0.44473841524294294,61,0.684316805025802,0.2124170026410112,0.11575354994935927,0.4732990994747243
IGHV4-34,0.4408789892428483,57,0.2136431784107946,0.18145264324062857,0.12000996340530314,0.6175332336384465
IGHV1-69,0.4402648893165918,81,0.17702596380802518,0.14926249398649982,0.16975848551287365,0.6790666571925643
IGHV5-51,0.4026605066349675,83,0.06780768759446101,0.12091521739199029,0.12707778943307027,0.4587878462239423
IGHV3-72,0.4002523870112285,52,0.3845584972637184,0.1338003610532731,0.14566293127314492,0.19595593219185672
IGHV1-3,0.39620795816046417,93,0.17208200725334913,0.1743947806497188,0.13659519026278774,0.5123200702899159
IGHV1-2,0.3955525528366346,74,0.09350399919131676,0.16160774256557425,0.13892029806890321,0.45722693023362365
IGHV5-10-1,0.39513780156176886,61,0.45427464998510575,0.15553026762209232,0.12453796752733855,0.5859348165353561
IGHV2-26,0.3878820309953883,45,0.6481348120409045,0.17426193545089233,0.10855277599649477,0.6664834002503767
IGHV2-70D,0.3824092918183601,26,0.9719626168224299,0.2651611947517541,0.07908352517539909,0.4420566637385738
IGHV4-61,0.38016784766392187,35,0.5787037037037037,0.16045809247605528,0.1354888169178762,0.4837483517754749
IGHV1-18,0.37172638723509605,65,0.0693814377968725,0.13821017860424925,0.1474918251743735,0.4506827522045846
IGHV4-59,0.37136409838145046,74,0.2942462920990894,0.15941096067097313,0.14346630594812074,0.4380529135965036
IGHV4-4,0.3604684409342223,68,0.2990456924227099,0.15057829550957882,0.12521713025352743,0.48070602506572285
IGHV7-4-1,0.3538880808570054,65,0.2629662594061008,0.1530194917165305,0.1003417341778652,0.4743777480885665
IGHV3-7,0.34072920034091014,77,0.10106843777071903,0.154499757361923,0.12242901023626433,0.33932298145244644
IGHV3-21,0.2937030055052734,62,0.11589868211982428,0.14369165006572937,0.11719907619915139,0.5240907851644168
