isotype,phi_S_n,phi_A_n,phi_R_n
IgM,0.008962368064184496,0.23777493472362723,0.6221455481523457
IgM,0.09757637954415499,0.23777493472362723,0.11320327271874561
IgM,0.035849472256737985,0.13863931107322508,0.6035733264849645
IgM,0.008962368064184496,0.4312680565175427,0.5227886761432577
IgM,0.02688710419255349,0.16278609890879728,0.4815898089682164
IgM,0.050618474170066395,0.13863931107322508,0.390807178962165
IgM,0.09543031449098888,0.06362205315268774,0.6217501992859089
IgM,0.19250185945420664,0.33682539644815823,0.11141089054610429
IgM,0.017924736128368993,0.19391314685253516,0.5370662483759745
IgM,0.13393068638183023,0.053306032556634346,0.6325919361779403
IgM,0.008962368064184496,0.23777493472362723,0.6038279301293074
IgM,0.0416561061058819,0.16278609890879728,0.32966776386141605
IgM,0.3290834454701401,0.035224348284423,0.39014590435483393
IgM,0.2257004320768413,0.035224348284423,0.4935758359166318
IgM,0.14289305444601472,0.04388810642886791,0.5717954856177773
IgM,0.017924736128368993,0.19391314685253516,0.5181718856477853
IgM,0.1392324856500369,0.13863931107322508,0.11589302284929513
IgM,0.12496831831764572,0.06362205315268774,0.5340094257325881
IgM,0.0416561061058819,0.16278609890879728,0.29774397447747364
IgM,0.07119410993253875,0.16278609890879728,0.15393989950349707
IgM,0.16031295599344647,0.07502568358755965,0.23857536197376694
IgM,0.29323397321340217,0.07502568358755965,0.1883687361754694
IgM,0.047462739955025826,0.19391314685253516,0.264756357906082
IgM,0.0775055783626199,0.08777357956135062,0.42282186232791336
IgM,0.10704358218927673,0.08777357956135062,0.37327787331581463
IgM,0.035849472256737985,0.13863931107322508,0.5779141397785131
IgM,0.017924736128368993,0.19391314685253516,0.4784189894082997
IgM,0.053774208385106985,0.10222555180886596,0.521083560862046
IgM,0.2731631720318671,0.019735000080812835,0.43206632450072213
IgM,0.0416561061058819,0.16278609890879728,0.2929339810820504
IgM,0.044811840320922475,0.11890852374394999,0.5366241671549016
IgM,0.07119410993253875,0.16278609890879728,0.12730996867780983
IgM,0.2642008039676826,0.02720287761399007,0.5156317524992774
IgM,0.2515778671075203,0.11890852374394999,0.1349446350518029
IgM,0.13973732023097413,0.06362205315268774,0.495116774751148
IgM,0.08015647799672324,0.13863931107322508,0.19532274736276828
IgM,0.13973732023097413,0.06362205315268774,0.4923551987397094
IgM,0.014769001913328417,0.31271645008661253,0.32022137887099783
IgM,0.15766205635934313,0.04388810642886791,0.36635071200426966
IgM,0.0595808422342509,0.11890852374394999,0.38124893223841516
IgM,0.050618474170066395,0.13863931107322508,0.3772247261540289
IgM,0.03850037189084134,0.23777493472362723,0.28902373865585335
IgM,0.02373136997751291,0.23777493472362723,0.29174986699154837
IgM,0.06223174186835425,0.35651520376903995,0.19424653823176083
IgM,0.12181258410260513,0.08777357956135062,0.1785926079281815
IgM,0.02953800382665683,0.31271645008661253,0.2856876047485489
IgM,0.047462739955025826,0.19391314685253516,0.2145783830115738
IgM,0.08911884606090772,0.11890852374394999,0.17480614756867974
IgM,0.035849472256737985,0.13863931107322508,0.4983289193196926
IgM,0.2457712332583764,0.31271645008661253,0.09813544526985928
IgM,0.1988133278842878,0.06362205315268774,0.21136539255363324
IgM,0.10969448182338006,0.13863931107322508,0.16330084399318576
IgM,0.053774208385106985,0.10222555180886596,0.4815110731693755
IgM,0.06803837571749816,0.23777493472362723,0.1739595014659127
IgM,0.12761921795174905,0.10222555180886596,0.13821091875875813
IgM,0.06854321029843541,0.10222555180886596,0.32764430937151784
IgM,0.3438524473834686,0.035224348284423,0.2814392213842825
IgM,0.06273657644929148,0.08777357956135062,0.5930260017610228
IgM,0.1101993164043173,0.06362205315268774,0.5695879653196488
IgM,0.035849472256737985,0.13863931107322508,0.43949909612906796
IgM,0.1160059502534612,0.07502568358755965,0.41283486257263163
IgM,0.1160059502534612,0.07502568358755965,0.3643675428272364
IgM,0.0595808422342509,0.11890852374394999,0.21738021346531952
IgM,0.008962368064184496,0.23777493472362723,0.3233037005713315
IgM,0.13973732023097413,0.06362205315268774,0.33670975832787536
IgM,0.05642510801921032,0.16278609890879728,0.2708951089455897
IgM,0.21093143016351285,0.035224348284423,0.549703639017861
IgM,0.13077495216678964,0.07502568358755965,0.31594811040591214
IgM,0.10704358218927673,0.08777357956135062,0.31286746467765114
IgM,0.23731369977512912,0.053306032556634346,0.20221180566454416
IgM,0.12446348373670847,0.13863931107322508,0.16252500481700483
IgM,0.08015647799672324,0.13863931107322508,0.192442461677665
IgM,0.044811840320922475,0.11890852374394999,0.3955656302270888
IgM,0.4414288269276236,0.02720287761399007,0.40717069799086864
IgM,0.09808121412509223,0.10222555180886596,0.2210752787257394
IgM,0.22254469786180073,0.053306032556634346,0.21136539255363324
IgM,0.050618474170066395,0.13863931107322508,0.35983672901087904
IgM,0.017924736128368993,0.19391314685253516,0.330677369251042
IgM,0.050618474170066395,0.13863931107322508,0.32660779362939035
IgM,0.08646794642680439,0.07502568358755965,0.5145421717145171
IgM,0.0922745802759483,0.08777357956135062,0.3879426912695672
IgM,0.1012369483401328,0.07502568358755965,0.4566815642949888
IgG,0.0,0.31271645008661253,0.7191304017736722
IgG,0.017924736128368993,0.19391314685253516,0.5405548006744374
IgG,0.050618474170066395,0.13863931107322508,0.3833869445111345
IgG,0.0,1.0,0.6256910599845777
IgG,0.0,1.0,0.4906105355306106
IgG,0.02688710419255349,0.16278609890879728,0.5378199875256444
IgG,0.30270117585852396,0.019735000080812835,0.5125049422445811
IgG,0.017924736128368993,0.19391314685253516,0.52225926954261
IgG,0.35230998086671583,0.07502568358755965,0.2366047835082705
IgG,0.0,0.31271645008661253,0.50859247878205
IgG,0.2963897074284428,0.053306032556634346,0.31261998117625334
IgG,0.02953800382665683,0.31271645008661253,0.22204566372473597
IgG,0.10704358218927673,0.08777357956135062,0.49180943433924906
IgG,0.3053520754926272,0.04388810642886791,0.3916259267687271
IgG,0.0416561061058819,0.16278609890879728,0.44834240686302107
IgG,0.0775055783626199,0.08777357956135062,0.7037044661819468
IgG,0.008962368064184496,0.23777493472362723,0.5001720724949708
IgG,0.13342585180089298,0.25749309461253356,0.06483005729605518
IgG,0.18404432597095935,0.06362205315268774,0.29439777212261936
IgG,0.115501115672524,0.16278609890879728,0.0987388724764454
IgG,0.0416561061058819,0.16278609890879728,0.3149692985318202
IgG,0.017924736128368993,0.19391314685253516,0.2694995569874759
IgG,0.044811840320922475,0.11890852374394999,0.5368171902169633
IgG,0.0,0.31271645008661253,0.5072748142422061
IgG,0.0595808422342509,0.11890852374394999,0.4607306204043184
IgG,0.06854321029843541,0.10222555180886596,0.5212622545041904
IgG,0.008962368064184496,0.23777493472362723,0.4591060147030879
IgG,0.21623322943171955,0.10222555180886596,0.12561608711631764
IgG,0.15450632214430254,0.06362205315268774,0.44097995647452404
IgG,0.0775055783626199,0.08777357956135062,0.5040854198815039
IgG,0.12181258410260513,0.08777357956135062,0.42937621591191616
IgG,0.17823769212181548,0.053306032556634346,0.38316426706386564
IgG,0.13658158601593356,0.08777357956135062,0.32356759762188736
IgG,0.18038375717498156,0.35651520376903995,0.0
IgG,0.14554395408011805,0.07502568358755965,0.47334928508487817
IgG,0.25523843590349804,0.035224348284423,0.508704490335578
IgG,0.050618474170066395,0.13863931107322508,0.36579476913737946
IgG,0.0,0.31271645008661253,0.42360749446701756
IgG,0.14289305444601472,0.04388810642886791,0.5738509147389693
