donor,n_total,n_front,hv2d_proxy,mean_phi_A,mean_phi_S,mean_phi_R
01,11454,58,0.784940562777378,0.16203148231617825,0.12524043583055375,0.37384268675500854
02,244315,93,0.6607266342098326,0.15661924057664292,0.1089601387963579,0.3888670326042834
03,43832,76,0.4659381147929768,0.147222944130599,0.11773834550704948,0.401532120053276
04,71825,86,0.450890121146092,0.13884085432464605,0.11541006780221752,0.4231624254996203
05,175339,88,0.4577327955692697,0.15994517219495183,0.1171492403864526,0.3733689974641968
06,40358,63,0.7037110522540717,0.16151543060705492,0.10438875816709973,0.4242527797650251
07,373508,95,0.3585872339669011,0.14086711246190425,0.10156252650343293,0.35664023315918847
08,89583,66,0.4600225206841527,0.15937747366921043,0.12013335977869695,0.3508662297316819
09,220028,101,0.45190568914764956,0.14482791345676815,0.12457593662683444,0.3628078869739748
10,61980,75,0.49936187404076166,0.18200894554607722,0.10364885149252456,0.38425710028935134
11,128328,81,0.6446634845896646,0.14922982779911242,0.11067624533386941,0.3892318319348497
