isotype,n_mut_H
IgM,20
IgM,20
IgM,0
IgM,0
IgM,12
IgM,16
IgM,22
IgM,14
IgM,14
IgM,19
IgM,18
IgM,8
IgM,20
IgM,30
IgM,16
IgM,7
IgM,16
IgM,22
IgM,9
IgM,9
IgM,17
IgM,24
IgM,16
IgM,8
IgM,8
IgM,8
IgM,8
IgM,12
IgM,24
IgM,10
IgM,3
IgM,26
IgM,9
IgM,9
IgM,9
IgM,9
IgM,9
IgM,19
IgM,9
IgM,17
IgM,16
IgM,16
IgM,17
IgM,13
IgM,21
IgM,10
IgM,16
IgM,20
IgM,0
IgM,27
IgM,0
IgM,13
IgM,25
IgM,8
IgM,12
IgM,12
IgM,28
IgM,11
IgM,11
IgM,21
IgM,20
IgM,20
IgM,20
IgM,20
IgM,20
IgM,20
IgM,20
IgM,14
IgM,20
IgM,31
IgM,7
IgM,7
IgM,21
IgM,4
IgM,8
IgM,21
IgM,26
IgM,19
IgM,19
IgM,6
IgM,20
IgM,21
IgM,23
IgM,21
IgM,21
IgM,22
IgM,20
IgM,18
IgM,18
IgM,19
IgM,10
IgM,10
IgM,12
IgM,10
IgM,11
IgM,8
IgM,14
IgM,18
IgM,10
IgM,15
IgM,7
IgM,7
IgM,8
IgM,21
IgM,17
IgM,17
IgM,14
IgM,21
IgM,10
IgM,19
IgM,19
IgM,25
IgM,19
IgM,32
IgM,12
IgM,7
IgM,12
IgM,17
IgM,9
IgM,8
IgM,8
IgM,6
IgM,14
IgM,6
IgM,7
IgM,6
IgM,7
IgM,6
IgM,16
IgM,16
IgM,10
IgM,12
IgM,0
IgM,4
IgM,12
IgM,13
IgM,9
IgM,9
IgM,8
IgM,13
IgM,4
IgM,16
IgM,16
IgM,11
IgM,17
IgM,15
IgM,17
IgM,15
IgM,32
IgM,9
IgM,10
IgM,19
IgM,6
IgM,20
IgM,11
IgM,9
IgM,13
IgM,17
IgM,26
IgM,25
IgM,25
IgM,13
IgM,25
IgM,12
IgM,25
IgM,16
IgM,20
IgM,12
IgM,8
IgM,9
IgM,9
IgM,9
IgM,9
IgM,9
IgM,12
IgM,8
IgM,21
IgM,17
IgM,4
IgM,16
IgM,29
IgM,19
IgM,29
IgM,18
IgM,11
IgM,30
IgM,24
IgM,10
IgM,12
IgM,12
IgM,9
IgM,7
IgM,15
IgM,9
IgM,9
IgM,5
IgM,5
IgM,8
IgM,12
IgM,12
IgM,9
IgM,8
IgM,8
IgM,9
IgM,7
IgM,23
IgM,7
IgM,11
IgM,14
IgM,7
IgM,9
IgM,21
IgM,9
IgM,8
IgM,12
IgM,12
IgM,7
IgM,25
IgM,7
IgM,16
IgM,14
IgM,8
IgM,3
IgM,23
IgM,15
IgM,9
IgM,10
IgM,9
IgM,8
IgM,8
IgM,25
IgM,13
IgM,13
IgM,27
IgM,13
IgM,14
IgM,21
IgM,11
IgM,6
IgM,13
IgM,22
IgM,19
IgM,15
IgM,5
IgM,14
IgM,19
IgM,19
IgM,33
IgM,6
IgM,6
IgM,18
IgM,18
IgM,11
IgM,12
IgM,12
IgM,18
IgM,18
IgM,7
IgM,25
IgM,9
IgM,9
IgM,15
IgM,0
IgM,6
IgM,6
IgM,6
IgM,8
IgM,7
IgM,8
IgM,8
IgM,7
IgM,21
IgM,24
IgM,19
IgM,19
IgM,19
IgM,14
IgM,11
IgM,11
IgM,10
IgM,25
IgM,5
IgM,11
IgM,9
IgM,11
IgM,11
IgM,15
IgM,15
IgM,15
IgM,15
IgM,15
IgM,11
IgM,7
IgM,27
IgM,27
IgM,13
IgM,6
IgM,5
IgM,13
IgM,19
IgM,10
IgM,8
IgM,17
IgM,11
IgM,9
IgM,35
IgM,35
IgM,35
IgM,35
IgM,17
IgM,17
IgM,17
IgM,17
IgM,9
IgM,13
IgM,9
IgM,9
IgM,9
IgM,8
IgM,18
IgM,22
IgM,22
IgM,22
IgM,22
IgM,22
IgM,22
IgM,22
IgM,18
IgM,8
IgM,9
IgM,8
IgM,10
IgM,8
