bin_label,cdrh3_length_mid,n,mean_n_mut_H,std_n_mut_H,median_n_mut_H
6-7,7.0,75062,15.260637872691907,8.320455613965676,14.0
8-9,9.0,180576,16.69941188197767,8.721285057332226,16.0
10-11,11.0,303552,16.60327390364748,9.13906856715879,15.0
12-13,13.0,377670,16.84838086159875,9.110579765367538,16.0
14-15,15.0,259298,17.094466598276885,9.46330688523441,16.0
16-17,17.0,164554,18.220808974561542,10.154550898884095,17.0
18-19,19.0,80900,18.221384425216318,9.97308677832816,17.0
20-21,21.0,31204,19.214107165747983,10.353195028088225,18.0
22-23,23.0,24918,13.83253070069829,9.882571931046579,10.0
24-25,25.0,3526,17.287010777084515,10.17152310764891,15.0
26-27,27.0,563,22.264653641207815,11.330930852060396,21.0
28-29,29.0,178,22.50561797752809,11.836074732255707,22.0
