lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
ability_rival_spatial_verb_glare_merit_suffer_inch,IGHV3-74,07,0.3322621823577854,0.0,0.04983408703277192,5
above_permit_element_always_bracket_shoot_quantum_accuse,IGHV3-23,01,0.0,0.0,-0.3028257238784431,4
abstract_silk_height_useful_raise_eye_brain_diamond,IGHV3-53,08,0.0,1.7594673020915625,-0.031121257932410495,10
achieve_rib_update_glance_notice_guess_nothing_there,IGHV3-53,05,0.05400985855769818,0.0,0.08916386468455217,4
acid_run_awkward_december_display_deer_ski_excuse,IGHV3-9,02,0.0,11.519245803751003,0.44475550904536776,7
acquire_night_record_rival_chunk_material_primary_acquire,IGHV1-18,02,0.0,1.197923757676863,-0.08436007951806435,5
across_mixed_umbrella_pulp_actual_future_pause_swallow,IGHV3-53,02,0.0,0.0,-0.04336884524356499,5
act_resemble_analyst_shell_soon_defy_drill_emotion,IGHV7-4-1,02,0.0,1.0505156071907225,-0.029639575668243934,5
action_copy_short_hello_fury_siege_festival_insane,IGHV6-1,07,0.05116137841945625,0.0,-0.0506731007265937,6
adapt_hospital_pledge_proud_review_region_curtain_wink,IGHV3-23,02,0.0,2.5496362138863593,-0.030866261174206988,4
admit_bracket_sting_hedgehog_certain_affair_hybrid_resource,IGHV1-18,02,0.0,0.0,-0.009746359658228343,4
admit_excess_winner_leisure_ignore_dust_open_hero,IGHV3-53,09,0.0,1.6145655761730513,0.01705622043997268,9
afford_poet_rotate_find_endless_tag_orchard_want,IGHV3-74,09,0.050625369554824405,0.0,-0.04493559735469144,21
afraid_beauty_rich_loop_vacant_twist_thunder_when,IGHV1-46,07,0.01628360930650853,0.0,0.01570308762671424,5
afraid_vendor_unveil_mom_security_gesture_clutch_panel,IGHV3-48,08,0.0735607589559179,0.7880532086177756,-0.009166434557875913,4
age_exile_film_sentence_pretty_manual_spin_receive,IGHV5-51,07,0.0,2.0725893374829605,0.30174176017859133,5
age_unable_measure_step_thumb_thing_absorb_adapt,IGHV4-31,11,0.0,0.0,-0.07306667058554761,9
album_blood_cabin_text_provide_junior_light_mistake,IGHV3-72,08,0.1557958189235048,1.1318153616519735,-0.05992052389135849,6
album_denial_rural_venture_dance_oblige_rabbit_abstract,IGHV1-3,01,0.0,0.0,-0.07543730926763725,5
allow_brass_drive_mother_aspect_great_solid_twelve,IGHV5-51,02,0.08906286816105685,0.0,-0.003177184004117928,9
almost_click_age_unknown_picnic_pear_hood_chief,IGHV4-61,06,0.0,0.0,-0.05098459427976887,5
alpha_venue_burden_syrup_whip_trouble_amused_step,IGHV3-53,09,0.0,2.4969444489524038,0.48379832334054695,4
alter_bike_tip_purity_region_note_island_distance,IGHV3-7,07,0.06670061245885495,0.0,-0.0264299834026136,5
alter_festival_pyramid_desert_wild_kid_captain_roof,IGHV1-2,07,0.10448908490076451,0.0,-0.13992329885648713,4
always_couple_flush_power_smoke_try_flag_wife,IGHV3-7,07,0.12858692705342747,0.0,0.022496071619785396,8
anger_jealous_field_first_stable_bacon_anxiety_ritual,IGHV1-46,02,0.40827912351511103,0.0,0.08946658870955027,6
announce_method_century_job_royal_green_hold_salon,IGHV3-53,02,0.2088409849896148,0.3677542596874259,0.4069456793336549,9
apart_negative_craft_drop_course_glass_income_cram,IGHV1-3,09,0.1786525078101034,1.6554798073586439,0.5739899818960938,6
apology_consider_away_answer_predict_rice_cream_raise,IGHV1-8,09,0.06560363285312416,0.12404370378531031,0.034550656162022686,10
april_ensure_catch_gate_foster_choice_sign_cycle,IGHV6-1,06,0.31063013296504727,0.0,0.4473677399888494,4
argue_finish_trust_despair_hole_oven_tank_rubber,IGHV3-74,02,0.005629683605891195,0.0,-0.1760326359681348,5
army_diet_spell_then_dice_meadow_drum_special,IGHV3-64,07,0.0,0.0,-0.034252490334609975,4
arrow_grant_select_dove_august_night_cradle_excess,IGHV3-74,05,0.0949122611095509,0.0,0.054363650917700124,4
