donor,lambda_S,lambda_R,r2,n
01,0.011168871824649993,0.0,0.004841192050644927,11454
02,0.006926555508060393,0.0,0.0016568141078768805,244315
03,0.013022819347541757,0.0,0.004970001788014766,43832
04,0.0014183135336510561,0.0,0.00010163102257487733,71825
05,0.006272874840267914,0.0,0.0017442351246323984,175339
06,0.0,0.0,0.0,40358
07,0.003837080560088495,0.0,0.0006061690988254931,373508
08,0.0,0.0,0.0,89583
09,0.0,0.0,0.0,220028
10,0.005638852546330844,0.1382437171414517,0.002253737148037338,61980
11,0.003436908709723661,0.0,0.0006653885608940424,128328
