v_gene,lambda_S,lambda_R,se_S,se_R,r2,n
IGHV3-64,0.023578221890350807,0.0,NaN,NaN,0.01895526754759136,2117
IGHV3-74,0.016388401121509872,0.0,0.0008782260797660953,0.0,0.009780637009042636,104696
IGHV3-7,0.015048218800348772,0.0,0.0016699743989257668,0.0,0.008362305945446846,76186
IGHV6-1,0.014232302439416786,0.0,0.0018780560767136531,0.032444701627467716,0.003916033391719864,20566
IGHV3-72,0.012046619190445475,0.0,0.0022953586505856482,0.0,0.005694863980475695,13522
IGHV1-8,0.011178125078864221,0.0,0.0011482282911851867,0.0,0.00490352951804407,27710
IGHV1-2,0.010595446572255638,0.18297726736365735,0.001188981819980912,0.012680386781537843,0.005404041243519009,79141
IGHV2-5,0.009319542884347219,0.004282487847899026,0.0009781463470250082,0.020578352681491007,0.0029063041301474746,39547
IGHV1-3,0.009057583426464724,0.0,0.0013861911761938854,0.0,0.004540624746539046,54044
IGHV4-NL1,0.00766374481585502,0.0,0.0023562918992214173,0.0,0.0021326390852055566,7720
IGHV4-61,0.007657678100274244,0.0,0.003146939112429999,0.0,0.0031801130799620214,6048
IGHV3-9,0.00737079486493245,0.0,0.001790515479605105,0.0,0.0024847887064299856,22669
IGHV3-48,0.00656694530427934,0.0,0.0010139735108109348,0.0,0.0016659194403213506,50180
IGHV3-53,0.005871126418672214,0.002058730779804792,0.0012553807624675645,0.014077838202190832,0.001651335651496999,43135
IGHV4-31,0.0053831693712433435,0.0,0.002221329218773457,0.0,0.0017030267735721472,25353
IGHV3-66,0.0047954374386251185,0.0,0.002861604488808434,0.0,0.0006930711988056837,6086
IGHV3-21,0.0041119480950581495,0.07154781377528244,0.0013150630730274367,0.01508664279990019,0.002472381479415753,53495
IGHV4-38-2,0.0038035065919044234,0.0,0.0032412968293654967,0.0,0.000593114263307104,11334
IGHV1-46,0.0027036731821292862,0.0,0.000826366042025634,0.0,0.00048488585213801727,42520
IGHV3-30-3,0.0024112310242028483,0.0,0.0033568273125059002,0.0,0.0002555192534525741,6722
IGHV1-24,0.0021300493862060907,0.019154716004108133,0.0023704064460550395,0.03585444335348865,0.00035987412257998397,7738
IGHV2-70,0.0017640582432165537,0.0,0.0020445885456973657,0.0,0.0001096224856340644,12153
IGHV4-59,0.0016247092601986337,0.001264694684423593,0.001995336270376483,0.015546810285869156,0.0001471616262547215,25149
IGHV3-73,0.0013869353376188256,0.0,0.0036820918751718046,0.0,0.00007685785270472589,5420
IGHV4-34,0.0013429280476840609,0.0,0.0011298878740265042,0.0,0.00008788052912367394,26680
IGHV5-51,0.001206148779979,0.0,0.0005745304494046869,0.0,0.00006809811955632572,122405
IGHV4-39,0.0010984284927647474,0.0,0.000802639548000012,0.0,0.00008188571651868148,77666
IGHV1-69,0.0006637928511127135,0.0,0.0009958438371033352,0.0,0.000042493149240763195,45756
IGHV3-15,0.0,0.0,0.0,0.0,0.0,21941
IGHV3-23,0.0,0.0,0.0,0.0,0.0,141121
IGHV2-70D,0.0,0.016449668274686937,NaN,NaN,0.000027803113175073335,2675
IGHV7-4-1,0.0,0.0,0.0,0.0,0.0,24718
IGHV3-33,0.0,0.0,0.0,0.0,0.0,33083
IGHV3-64D,0.0,0.0,NaN,NaN,0.0,3164
IGHV3-49,0.0,0.0,0.0,0.0,0.0,10319
IGHV3-13,0.0,0.0662353237632414,0.0,0.06170115784960906,0.0008207151111151445,6392
IGHV1-18,0.0,0.0,0.0,0.0,0.0,93685
IGHV3-11,0.0,0.0,0.0,0.0,0.0,8914
IGHV5-10-1,0.0,0.0,0.0,0.0,0.0,13428
IGHV3-30,0.0,0.0,0.0,0.0,0.0,41970
IGHV3-20,0.0,0.0,NaN,NaN,0.0,2513
IGHV2-26,0.0,0.0,0.0,0.0,0.0,6943
IGHV3-43,0.0,0.0,NaN,NaN,0.0,4175
IGHV4-4,0.0,0.0,0.0,0.0,0.0,22739
IGHV1-58,0.0,0.1139850093878404,NaN,NaN,0.002668182146925213,2812
IGHV4-30-4,0.0,0.0,NaN,NaN,0.0,1445
