v_gene,lambda_S,lambda_R,se_S,se_R,r2,n
IGHV3-66,0.028543585016159254,0.0,NaN,NaN,0.018361664009227563,218
IGHV6-1,0.028306922103657036,0.0,NaN,NaN,0.016134727411956873,363
IGHV3-64,0.027035884521415723,0.0,NaN,NaN,0.035381411937906004,108
IGHV1-69-2,0.018701239420900243,0.0,NaN,NaN,0.027555761237698095,27
IGHV3-64D,0.018259095684848577,0.0,NaN,NaN,0.01736069066556334,92
IGHV4-28,0.01695835449775984,0.0,NaN,NaN,0.033251278948806196,27
IGHV3-33,0.013863396236111398,0.0,NaN,NaN,0.008477832202820723,396
IGHV3-72,0.012800521594832026,0.0,NaN,NaN,0.006843256978764867,235
IGHV4-4,0.008511383160412795,0.0,NaN,NaN,0.004321263182267998,304
IGHV3-7,0.007694339086412776,0.0,0.004952372511753024,0.0,0.0030957393777009123,638
IGHV4-38-2,0.007132244549896023,0.31616532745001763,NaN,NaN,0.020466121351005562,215
IGHV1-3,0.006897909332778781,0.0,NaN,NaN,0.00246256183964344,494
IGHV2-70,0.006593833915962709,0.0,NaN,NaN,0.0010929620063128143,255
IGHV2-26,0.005546121467502202,0.039855491829848905,NaN,NaN,0.001028801025449555,165
IGHV1-8,0.004161879178657425,0.0,NaN,NaN,0.0007674443525180763,388
IGHV4-30-4,0.003995617773088254,0.0,NaN,NaN,0.004163218408462788,33
IGHV3-73,0.0031136523698601397,0.013973074582971957,NaN,NaN,0.0003541836434872714,110
IGHV1-2,0.0025649874996397514,0.0,NaN,NaN,0.00037836931270140983,488
IGHV4-NL1,0.002129692809883958,0.0,NaN,NaN,0.00025785757857421654,268
IGHV3-9,0.001982796822591963,0.10769846609430786,NaN,NaN,0.0015987008673000735,287
IGHV3-74,0.001611845175327296,0.0,0.003674652702911375,0.0,0.0001317422108670918,918
IGHV3-48,0.0,0.0,0.0010557537445520825,0.0,0.0,535
IGHV1-18,0.0,0.03989896179571036,0.0,0.09260906849362144,0.00034355225678572854,579
IGHV2-5,0.0,0.1278340191736104,NaN,NaN,0.002903165265729757,398
IGHV1-69,0.0,0.0,NaN,NaN,0.0,266
IGHV5-51,0.0,0.0,0.0,0.0,0.0,865
IGHV4-61,0.0,0.0,NaN,NaN,0.0,103
IGHV3-23,0.0,0.0,0.0,0.026621944972089456,0.0,769
IGHV3-15,0.0,0.0,NaN,NaN,0.0,212
IGHV4-31,0.0,0.19375978694099133,NaN,NaN,0.007348838720531159,352
IGHV3-30,0.0,0.0,NaN,NaN,0.0,345
IGHV5-10-1,0.0,0.22084069904350043,NaN,NaN,0.009138348311506173,242
IGHV2-70D,0.0,0.2815416982102082,NaN,NaN,0.00863471123891102,141
IGHV4-39,0.0,0.0,0.0,0.0,0.0,523
IGHV7-4-1,0.0,0.09317899623225032,NaN,NaN,0.001690142354330848,291
IGHV3-53,0.0,0.08720570132639634,NaN,NaN,0.0014648322967041327,496
IGHV1-46,0.0,0.008983526416538573,NaN,NaN,0.00001971957828550419,449
IGHV3-21,0.0,0.18828385392331654,NaN,NaN,0.006741089490199026,449
IGHV4-59,0.0,0.008384449426638343,NaN,NaN,0.00001598569116401105,325
IGHV3-13,0.0,0.0732569219176637,NaN,NaN,0.0008242287817681326,230
IGHV1-24,0.0,0.02605717719345814,NaN,NaN,0.00022860357088172467,167
IGHV3-49,0.0,0.05278147044952248,NaN,NaN,0.0006752363814055418,151
IGHV1-58,0.0,0.12028082762414744,NaN,NaN,0.003128892942892314,102
IGHV3-30-3,0.0,0.0,NaN,NaN,0.0,92
IGHV4-34,0.0,0.0,NaN,NaN,0.0,328
IGHV3-43,0.0,0.0,NaN,NaN,0.0,118
IGHV3-43D,0.0,0.0,NaN,NaN,0.0,39
IGHV3-11,0.0,0.06244082821291474,NaN,NaN,0.001076517373307384,147
IGHV3-20,0.0,0.0,NaN,NaN,0.0,104
IGHV1-45,0.0,0.0,NaN,NaN,0.0,22
