lineage,frac_phi_A_down,n_edges,mean_d_phi_A,mean_d_phi_S,mean_d_phi_R
mandate_correct_hat_loud_pelican_tool_canyon_deal,0.16666666666666666,6,0.1456055502199328,1.682943021589578,0.038046426738328164
desert_library_quick_upon_wink_wolf_tooth_marble,0.25,4,-0.17306809018817654,1.4008443713984045,-0.0460624357794851
wrap_note_crisp_video_cancel_nothing_brief_give,0.3333333333333333,3,0.2659909197176968,2.98515333455561,-0.005594787444139548
acquire_empower_repair_drum_near_coral_paper_rather,1.0,2,-0.3461361803763531,4.2708130054112035,0.2500306835256585
garment_grain_punch_evolve_love_sustain_deposit_shoulder,0.4,5,-1.3873719048651403,2.0542947683477615,-0.094415844609572
shift_cereal_spatial_gloom_rebuild_idle_drama_hand,0.5,2,0.4566168661069077,0.20691699642221106,0.0
assume_lion_valid_parade_sing_empower_butter_nice,0.0,2,0.3463547417488562,1.3491151222928512,0.1816465422477469
shock_trend_spawn_fork_oak_polar_render_people,0.0,2,0.12964445936338376,1.3656657644032872,-0.04110462541774976
early_board_gloom_people_tonight_bird_payment_cupboard,0.5,4,-0.17317737087442817,2.7147808866961407,0.0024829163667367538
mystery_famous_south_miss_digital_stairs_talk_reason,0.4,5,0.423539643944945,2.9051472410079144,0.04642410974620953
tuna_gym_scatter_trim_spoil_undo_add_cook,0.6666666666666666,3,-0.5958462440252804,5.059862826175692,-0.15489685078393486
visa_oven_gasp_bless_toss_pen_want_wine,0.5714285714285714,7,0.0,2.9689951377315276,-0.07076895773763699
siege_south_embody_ugly_prosper_master_slow_sock,0.5,4,0.0,1.9367648273386093,0.0
palm_ignore_region_wheat_spawn_monster_raven_squirrel,0.42857142857142855,7,0.11488228601737907,1.5761341798551278,0.02632682044692079
heavy_catalog_art_orbit_session_action_guess_crumble,0.3333333333333333,3,0.5130302741880469,2.0636757302131246,0.07975957836649343
eyebrow_hold_tomato_vintage_case_peasant_depend_clump,0.5,8,0.0,1.6512152958709492,0.05883268020128515
surface_clap_snake_glide_wink_mad_tissue_ostrich,0.5,4,-1.4860479429780231,5.195741491030174,0.12674590710144654
