donor,n_total,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R,min_phi_A,min_phi_R,min_phi_S
01,11454,58,0.5063733193644142,0.784940562777378,0.12524043583055375,0.16203148231617825,0.37384268675500854,0.0,0.09154971596693279,0.0
02,244315,93,0.038065612017272786,0.6607266342098326,0.1089601387963579,0.15661924057664292,0.3888670326042834,0.006187028939593602,0.05879077844290636,0.0
03,43832,76,0.17338930461763097,0.4659381147929768,0.11773834550704948,0.147222944130599,0.401532120053276,0.019735000080812835,0.0,0.0
04,71825,86,0.11973546815175774,0.450890121146092,0.11541006780221752,0.13884085432464605,0.4231624254996203,0.012749212613976702,0.11454864242528855,0.0
05,175339,88,0.050188492006912326,0.4577327955692697,0.1171492403864526,0.15994517219495183,0.3733689974641968,0.012749212613976702,0.08189484594683749,0.0
06,40358,63,0.1561028792308836,0.7037110522540717,0.10438875816709973,0.16151543060705492,0.4242527797650251,0.0,0.13821091875875813,0.0
07,373508,95,0.02543452884543303,0.3585872339669011,0.10156252650343293,0.14086711246190425,0.35664023315918847,0.012749212613976702,0.08429009059783124,0.0
08,89583,66,0.07367469274304277,0.4600225206841527,0.12013335977869695,0.15937747366921043,0.3508662297316819,0.0,0.10208234461339107,0.0
09,220028,101,0.045903248677441055,0.45190568914764956,0.12457593662683444,0.14482791345676815,0.3628078869739748,0.006187028939593602,0.10389263023869384,0.0
10,61980,75,0.12100677637947725,0.49936187404076166,0.10364885149252456,0.18200894554607722,0.38425710028935134,0.019735000080812835,0.1543135656030731,0.0
11,128328,81,0.06311950626519544,0.6446634845896646,0.11067624533386941,0.14922982779911242,0.3892318319348497,0.006187028939593602,0.06483005729605518,0.0
