v_gene,n_total,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R,min_phi_A,min_phi_R,is_bnab,is_autoreact
IGHV4-39,77666,77,0.09914248190971596,0.850049595072207,0.13115203322630192,0.14392643891107018,0.4442304451318464,0.0,0.28534370164147627,false,false
IGHV3-64D,3164,47,1.4854614412136535,0.784940562777378,0.1519173054413992,0.163836236073178,0.45676063211670254,0.0,0.3237146328713382,false,false
IGHV3-43,4175,58,1.3892215568862276,0.7272803122498864,0.15482632976692648,0.1864556336979141,0.461115730556169,0.035224348284423,0.31870382605188996,false,false
IGHV3-20,2513,43,1.7111022682053323,0.6767872071066141,0.13568627672397748,0.17353599412018364,0.5915754093478526,0.02720287761399007,0.4147128785381684,false,false
IGHV3-13,6392,31,0.48498122653316644,0.6664585315689084,0.12100637699739579,0.16770301338674512,0.43840169194561385,0.035224348284423,0.31426204627289794,false,false
IGHV3-23,141121,70,0.04960282310924667,0.6607266342098326,0.14033424744771744,0.11307335475911787,0.38698574165758914,0.006187028939593602,0.19957599657837746,false,false
IGHV3-30,41970,85,0.20252561353347628,0.6504241030793338,0.11065678342493562,0.17377997360030936,0.5035729999044943,0.012749212613976702,0.3461251881744005,false,false
IGHV4-31,25353,60,0.23665838362323985,0.6446634845896646,0.12154752867814032,0.1527608126029569,0.5515495489121999,0.006187028939593602,0.3511835966957637,false,false
IGHV4-38-2,11334,48,0.4235044997353097,0.6304600569018047,0.11797573034502921,0.16378637152129072,0.46455994349032453,0.02720287761399007,0.30132667522106404,false,false
IGHV3-48,50180,68,0.13551215623754484,0.6090026612180477,0.11001560955935727,0.16782034275900876,0.40473108961895293,0.019735000080812835,0.23218837709219087,false,false
IGHV3-30-3,6722,38,0.5653079440642665,0.6056367508879305,0.15603443821872812,0.12023639281363212,0.5819045438454896,0.035224348284423,0.37352121655676396,false,false
IGHV1-46,42520,76,0.17873941674506114,0.5928097525239765,0.16978196243347707,0.1423235547018927,0.5017082093406999,0.012749212613976702,0.30339739409590216,false,false
IGHV3-73,5420,49,0.9040590405904059,0.5592377728807126,0.10383633424148747,0.1597939449621435,0.46763542964283494,0.04388810642886791,0.33687653250662897,false,false
IGHV3-64,2117,38,1.7949929145016532,0.5516840009265634,0.10283482493124528,0.18094077779249107,0.47067617889586294,0.012749212613976702,0.32200158610930985,false,false
IGHV4-30-4,1445,33,2.283737024221453,0.529609525036708,0.1570348376375726,0.18210746194426386,0.5647895689744449,0.035224348284423,0.36037517884173903,false,false
IGHV3-9,22669,68,0.29996912082579735,0.5229124050274153,0.13332374842235717,0.16250290920568733,0.49902626169605485,0.006187028939593602,0.32295299564611163,false,false
IGHV3-49,10319,54,0.5233065219498013,0.5069209896889795,0.10116688999102294,0.2052825497625365,0.4580122618981098,0.02720287761399007,0.29824731009500755,false,false
IGHV3-33,33083,83,0.25088413989057823,0.4914786062873764,0.11927887571084095,0.16449613490000048,0.5229381372846472,0.02720287761399007,0.3641223641284054,false,false
IGHV3-66,6086,42,0.690108445612882,0.48863861719042845,0.11494206831882374,0.19759274949587477,0.4628813198034334,0.04388810642886791,0.26775790602658517,false,false
IGHV1-8,27710,55,0.19848430169613857,0.4764435347291872,0.11817260169240602,0.20954127708134213,0.5082669922836669,0.035224348284423,0.335646529324762,false,false
IGHV3-53,43135,86,0.19937405818940535,0.4613914913483302,0.13450468220620562,0.16601320090012855,0.4838533160081809,0.02720287761399007,0.3247444180186845,false,false
IGHV3-74,104696,69,0.06590509666080843,0.4600225206841527,0.13045483525130336,0.13454250917564944,0.31815658887904685,0.0,0.17537911660937072,false,false
IGHV1-58,2812,36,1.2802275960170697,0.4451514560825669,0.11520305108180648,0.17276736570683013,0.5837180607660883,0.02720287761399007,0.43767900185745523,false,false
IGHV3-11,8914,61,0.684316805025802,0.44473841524294294,0.11575354994935927,0.2124170026410112,0.4732990994747243,0.035224348284423,0.3199673593034799,false,false
IGHV4-34,26680,57,0.2136431784107946,0.4408789892428483,0.12000996340530314,0.18145264324062857,0.6175332336384465,0.02720287761399007,0.4618746742217651,false,true
IGHV1-69,45756,81,0.17702596380802518,0.4402648893165918,0.16975848551287365,0.14926249398649982,0.6790666571925643,0.019735000080812835,0.43622733409910164,true,false
IGHV5-51,122405,83,0.06780768759446101,0.4026605066349675,0.12707778943307027,0.12091521739199029,0.4587878462239423,0.019735000080812835,0.27689278868417777,false,false
IGHV3-72,13522,52,0.3845584972637184,0.4002523870112285,0.14566293127314492,0.1338003610532731,0.19595593219185672,0.006187028939593602,0.0,false,false
IGHV1-3,54044,93,0.17208200725334913,0.39620795816046417,0.13659519026278774,0.1743947806497188,0.5123200702899159,0.012749212613976702,0.34536978378999333,false,false
IGHV1-2,79141,74,0.09350399919131676,0.3955525528366346,0.13892029806890321,0.16160774256557425,0.45722693023362365,0.019735000080812835,0.2545722247703643,true,false
IGHV5-10-1,13428,61,0.45427464998510575,0.39513780156176886,0.12453796752733855,0.15553026762209232,0.5859348165353561,0.02720287761399007,0.4105893961537543,false,false
IGHV2-26,6943,45,0.6481348120409045,0.3878820309953883,0.10855277599649477,0.17426193545089233,0.6664834002503767,0.04388810642886791,0.5242472221705601,false,false
IGHV2-70D,2675,26,0.9719626168224299,0.3824092918183601,0.07908352517539909,0.2651611947517541,0.4420566637385738,0.053306032556634346,0.33338251117827444,false,false
IGHV4-61,6048,35,0.5787037037037037,0.38016784766392187,0.1354888169178762,0.16045809247605528,0.4837483517754749,0.02720287761399007,0.33911499195911626,false,false
IGHV1-18,93685,65,0.0693814377968725,0.37172638723509605,0.1474918251743735,0.13821017860424925,0.4506827522045846,0.019735000080812835,0.2891342311632206,false,false
IGHV4-59,25149,74,0.2942462920990894,0.37136409838145046,0.14346630594812074,0.15941096067097313,0.4380529135965036,0.02720287761399007,0.2633829163040651,false,false
IGHV4-4,22739,68,0.2990456924227099,0.3604684409342223,0.12521713025352743,0.15057829550957882,0.48070602506572285,0.02720287761399007,0.3128207052476964,false,false
IGHV7-4-1,24718,65,0.2629662594061008,0.3538880808570054,0.1003417341778652,0.1530194917165305,0.4743777480885665,0.02720287761399007,0.2606371735554363,false,false
IGHV3-7,76186,77,0.10106843777071903,0.34072920034091014,0.12242901023626433,0.154499757361923,0.33932298145244644,0.019735000080812835,0.15468038921810773,false,false
IGHV3-21,53495,62,0.11589868211982428,0.2937030055052734,0.11719907619915139,0.14369165006572937,0.5240907851644168,0.019735000080812835,0.35329526702590813,false,false
IGHV2-70,12153,46,0.3785073644367646,0.2832601906357056,0.09417906755105326,0.17744294227340549,0.5734829579376882,0.02720287761399007,0.4624003542569068,false,false
IGHV6-1,20566,43,0.20908295244578431,0.2569688897959243,0.10909562814195536,0.20182890072097076,0.4102250331665199,0.06362205315268774,0.23448947727004238,false,false
IGHV1-24,7738,52,0.6720082708710261,0.25051489421575146,0.10132440326132314,0.19982983447834324,0.6402415165911282,0.04388810642886791,0.469136757332488,false,false
IGHV3-15,21941,59,0.2689029670479923,0.24617940177136555,0.12066798293650632,0.1422756336405872,0.44908282635611757,0.035224348284423,0.29487690105015435,false,false
IGHV4-NL1,7720,46,0.5958549222797928,0.2431913126870877,0.09957954870088977,0.16204334399476872,0.39677743726704884,0.053306032556634346,0.27029480791890803,false,false
IGHV2-5,39547,61,0.15424684552557716,0.22666279232905903,0.07398978820043396,0.18514495361224548,0.458482507767364,0.019735000080812835,0.2928095042060389,false,false
