v_gene:0,mean_phi_R_naive,std_phi_R_naive,n_naive,mean_phi_R_memory,std_phi_R_memory,n_memory,mean_phi_R_IgG,n_IgG,delta_phi_R,delta_phi_R_IgG,is_ighv434
IGHV1-69-2,1.4760763584733458,0.4276365549380972,3611,1.0923699270341298,0.5452305026425718,810,0.988841017357865,379,-0.383706431439216,-0.48723534111548084,false
IGHV3-7,-0.6135114998995794,0.4882572109922504,40536,-0.9921945679435449,0.47529388155009294,78968,-0.9613444671824155,7954,-0.37868306804396545,-0.3478329672828361,false
IGHV6-1,-0.2118866364956348,0.4443639209008249,17350,-0.5528442015772962,0.4296627682514207,21884,-0.4390291286712051,2125,-0.3409575650816614,-0.22714249217557028,false
IGHV3-74,-0.8557218303779539,0.5018508192348256,44116,-1.19547292279103,0.4121668658216187,109049,-1.206809875406691,12627,-0.339751092413076,-0.35108804502873703,false
IGHV3-15,0.20930145111143128,0.5009685050577088,26669,-0.12091611423741719,0.48442241993068746,22776,-0.029028035272728875,3267,-0.3302175653488485,-0.23832948638416016,false
IGHV3-43,-0.0648649378806195,0.42140399774734666,4557,-0.3943376518669703,0.41664109467954674,4675,-0.33006852277798643,869,-0.3294727139863508,-0.26520358489736695,false
IGHV3-21,0.3490432200802724,0.48608526374682554,76775,0.03604385459773092,0.4890031086296888,55207,0.17716716625913329,8105,-0.3129993654825415,-0.1718760538211391,false
IGHV3-72,-1.7645400724118927,0.49208979777568723,2192,-2.050644407567237,0.3950321268961729,13944,-2.1365704989763543,1374,-0.2861043351553443,-0.3720304265644616,false
IGHV1-8,0.38984618424849293,0.5428600907977534,41651,0.10526948941472371,0.4816494812154949,28870,0.14583637546405895,5231,-0.28457669483376924,-0.24400980878443398,false
IGHV7-4-1,0.020810538087643708,0.48688833968601997,26228,-0.25516181799965176,0.4393049471488467,25447,-0.2195587870863354,4291,-0.2759723560872955,-0.2403693251739791,false
